"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","商品分类管理","1","0","查询成功","0"
"0","","0","用户管理","1","0","编辑成功","0"
"0","","0","分类参数管理","2","0","查询成功","0"
"0","","0","角色管理","1","0","授权成功","0"
"0","","0","用户管理","2","0","查询成功","0"
"0","","0","分类参数管理","1","0","编辑成功","0"
"0","","0","商品分类管理","1","0","添加成功","0"
"0","","0","用户管理","1","0","修改成功","0"
"0","","0","商品分类管理","1","0","编辑成功","0"
"0","","0","角色管理","2","0","查询成功","0"
"0","","0","用户管理","1","0","添加成功","0"
"0","","0","角色管理","2","0","删除成功","0"
"0","","0","权限管理","2","0","查询成功","0"
"0","","0","用户管理","1","0","分配成功","0"
"0","","0","角色管理","1","0","添加成功","0"
"0","","0","分类参数管理","1","0","添加成功","0"
"0","","0","分类参数管理","1","0","删除成功","0"
"0","","0","商品分类管理","1","0","删除成功","0"
"0","","0","登录","1","0","登录成功","0"
"0","","0","角色管理","1","0","编辑成功","0"
"0","","0","用户管理","1","0","删除成功","0"
